Time,G1 - Min,G1 - Max,G1 - Cost
12/01/2019 16.00,0,1600,0.0517
12/01/2019 17.00,0,1600,0.05296
12/01/2019 18.00,0,1600,0.05233
12/01/2019 19.00,0,1600,0.05123
12/01/2019 20.00,0,1600,0.05002
12/01/2019 21.00,0,1600,0.04923
12/01/2019 22.00,0,1600,0.04829
12/01/2019 23.00,0,1600,0.04722
13/01/2019 00.00,0,1600,0.04902
13/01/2019 01.00,0,1600,0.04818
13/01/2019 02.00,0,1600,0.04806
13/01/2019 03.00,0,1600,0.04803
13/01/2019 04.00,0,1600,0.0475
13/01/2019 05.00,0,1600,0.04733
13/01/2019 06.00,0,1600,0.04742
13/01/2019 07.00,0,1600,0.04753
13/01/2019 08.00,0,1600,0.048
13/01/2019 09.00,0,1600,0.04878
13/01/2019 10.00,0,1600,0.04947
13/01/2019 11.00,0,1600,0.04985
13/01/2019 12.00,0,1600,0.04987
13/01/2019 13.00,0,1600,0.04936
13/01/2019 14.00,0,1600,0.04873
13/01/2019 15.00,0,1600,0.04921
13/01/2019 16.00,0,1600,0.05017
13/01/2019 17.00,0,1600,0.05029
13/01/2019 18.00,0,1600,0.04957
13/01/2019 19.00,0,1600,0.04863
13/01/2019 20.00,0,1600,0.0473
13/01/2019 21.00,0,1600,0.04581
13/01/2019 22.00,0,1600,0.04356
13/01/2019 23.00,0,1600,0.03923
14/01/2019 00.00,0,1600,0.02775
14/01/2019 01.00,0,1600,0.0207
14/01/2019 02.00,0,1600,0.01654
14/01/2019 03.00,0,1600,0.02275
14/01/2019 04.00,0,1600,0.03545
14/01/2019 05.00,0,1600,0.04466
14/01/2019 06.00,0,1600,0.04807
14/01/2019 07.00,0,1600,0.05122
14/01/2019 08.00,0,1600,0.05166
14/01/2019 09.00,0,1600,0.05068
14/01/2019 10.00,0,1600,0.0506
14/01/2019 11.00,0,1600,0.05027
14/01/2019 12.00,0,1600,0.04989
14/01/2019 13.00,0,1600,0.04992
14/01/2019 14.00,0,1600,0.05004
14/01/2019 15.00,0,1600,0.05018
14/01/2019 16.00,0,1600,0.05093
14/01/2019 17.00,0,1600,0.05125
14/01/2019 18.00,0,1600,0.05093
14/01/2019 19.00,0,1600,0.05052
14/01/2019 20.00,0,1600,0.04961
14/01/2019 21.00,0,1600,0.046
14/01/2019 22.00,0,1600,0.0444
14/01/2019 23.00,0,1600,0.03955
15/01/2019 00.00,0,1600,0.03767
15/01/2019 01.00,0,1600,0.0367
15/01/2019 02.00,0,1600,0.03706
15/01/2019 03.00,0,1600,0.04064
15/01/2019 04.00,0,1600,0.04431
15/01/2019 05.00,0,1600,0.04846
15/01/2019 06.00,0,1600,0.05091
15/01/2019 07.00,0,1600,0.05373
15/01/2019 08.00,0,1600,0.05586
15/01/2019 09.00,0,1600,0.05679
15/01/2019 10.00,0,1600,0.05654
15/01/2019 11.00,0,1600,0.055
15/01/2019 12.00,0,1600,0.05392
15/01/2019 13.00,0,1600,0.05331
15/01/2019 14.00,0,1600,0.05263
15/01/2019 15.00,0,1600,0.05263
15/01/2019 16.00,0,1600,0.05391
15/01/2019 17.00,0,1600,0.0545
15/01/2019 18.00,0,1600,0.05427
15/01/2019 19.00,0,1600,0.05332
15/01/2019 20.00,0,1600,0.0525
15/01/2019 21.00,0,1600,0.05165
15/01/2019 22.00,0,1600,0.0504
15/01/2019 23.00,0,1600,0.04866
16/01/2019 00.00,0,1600,0.04948
16/01/2019 01.00,0,1600,0.04901
16/01/2019 02.00,0,1600,0.04891
16/01/2019 03.00,0,1600,0.04906
16/01/2019 04.00,0,1600,0.04912
16/01/2019 05.00,0,1600,0.05106
16/01/2019 06.00,0,1600,0.05282
16/01/2019 07.00,0,1600,0.05667
