Time,W1 - Min,W1 - Max,W1 - Cost
11/01/2019 22.00,0,206.898,0
11/01/2019 23.00,0,194.155,0
12/01/2019 00.00,0,190.732,0
12/01/2019 01.00,0,200.264,0
12/01/2019 02.00,0,226.705,0
12/01/2019 03.00,0,238.871,0
12/01/2019 04.00,0,232.494,0
12/01/2019 05.00,0,226.472,0
12/01/2019 06.00,0,223.922,0
12/01/2019 07.00,0,242.109,0
12/01/2019 08.00,0,270.672,0
12/01/2019 09.00,0,266.088,0
12/01/2019 10.00,0,259.422,0
12/01/2019 11.00,0,286.88,0
12/01/2019 12.00,0,358.617,0
12/01/2019 13.00,0,356.179,0
12/01/2019 14.00,0,331.708,0
12/01/2019 15.00,0,308.886,0
12/01/2019 16.00,0,296.648,0
12/01/2019 17.00,0,276.537,0
12/01/2019 18.00,0,263.883,0
12/01/2019 19.00,0,250.356,0
12/01/2019 20.00,0,252.608,0
12/01/2019 21.00,0,259.673,0
12/01/2019 22.00,0,245.547,0
12/01/2019 23.00,0,253.748,0
13/01/2019 00.00,0,250.657,0
13/01/2019 01.00,0,236.399,0
13/01/2019 02.00,0,255.137,0
13/01/2019 03.00,0,280.835,0
13/01/2019 04.00,0,281.814,0
13/01/2019 05.00,0,287.356,0
13/01/2019 06.00,0,292.805,0
13/01/2019 07.00,0,310.874,0
13/01/2019 08.00,0,368.376,0
13/01/2019 09.00,0,416.756,0
13/01/2019 10.00,0,429.244,0
13/01/2019 11.00,0,440.179,0
13/01/2019 12.00,0,439.018,0
13/01/2019 13.00,0,451.374,0
13/01/2019 14.00,0,456.074,0
13/01/2019 15.00,0,456.387,0
13/01/2019 16.00,0,458.624,0
13/01/2019 17.00,0,461.883,0
13/01/2019 18.00,0,462.157,0
13/01/2019 19.00,0,462.165,0
13/01/2019 20.00,0,451.735,0
13/01/2019 21.00,0,426.202,0
13/01/2019 22.00,0,384.089,0
13/01/2019 23.00,0,388.705,0
14/01/2019 00.00,0,428.733,0
14/01/2019 01.00,0,451.649,0
14/01/2019 02.00,0,457.359,0
14/01/2019 03.00,0,453.867,0
14/01/2019 04.00,0,446.292,0
14/01/2019 05.00,0,436.337,0
14/01/2019 06.00,0,434.951,0
14/01/2019 07.00,0,441.091,0
14/01/2019 08.00,0,429.578,0
14/01/2019 09.00,0,428.589,0
14/01/2019 10.00,0,439.115,0
14/01/2019 11.00,0,450.712,0
14/01/2019 12.00,0,458.262,0
14/01/2019 13.00,0,459.806,0
14/01/2019 14.00,0,461.01,0
14/01/2019 15.00,0,458.59,0
14/01/2019 16.00,0,448.209,0
14/01/2019 17.00,0,437.282,0
14/01/2019 18.00,0,430.774,0
14/01/2019 19.00,0,422.593,0
14/01/2019 20.00,0,407.153,0
14/01/2019 21.00,0,384.9,0
14/01/2019 22.00,0,366.57,0
14/01/2019 23.00,0,341.168,0
15/01/2019 00.00,0,300.618,0
15/01/2019 01.00,0,239.72,0
15/01/2019 02.00,0,228.323,0
15/01/2019 03.00,0,246.92,0
15/01/2019 04.00,0,241.441,0
15/01/2019 05.00,0,215.942,0
15/01/2019 06.00,0,180.821,0
15/01/2019 07.00,0,174.846,0
15/01/2019 08.00,0,185.548,0
15/01/2019 09.00,0,239.624,0
15/01/2019 10.00,0,363.311,0
15/01/2019 11.00,0,443.491,0
15/01/2019 12.00,0,455.898,0
15/01/2019 13.00,0,447.834,0
15/01/2019 14.00,0,449.693,0
15/01/2019 15.00,0,438.554,0
15/01/2019 16.00,0,417.509,0
15/01/2019 17.00,0,382.695,0
15/01/2019 18.00,0,341.538,0
15/01/2019 19.00,0,320.138,0
15/01/2019 20.00,0,300.508,0
15/01/2019 21.00,0,272.3,0
15/01/2019 22.00,0,250.362,0
15/01/2019 23.00,0,243.413,0
16/01/2019 00.00,0,256.531,0
16/01/2019 01.00,0,296.578,0
16/01/2019 02.00,0,351.703,0
16/01/2019 03.00,0,374.919,0
16/01/2019 04.00,0,345.148,0
16/01/2019 05.00,0,335.86,0
16/01/2019 06.00,0,352.801,0
16/01/2019 07.00,0,357.188,0
16/01/2019 08.00,0,367.131,0
16/01/2019 09.00,0,383.962,0
16/01/2019 10.00,0,389.65,0
16/01/2019 11.00,0,399.607,0
16/01/2019 12.00,0,416.584,0
16/01/2019 13.00,0,423.23,0
16/01/2019 14.00,0,426.225,0
16/01/2019 15.00,0,428.725,0
16/01/2019 16.00,0,433.789,0
16/01/2019 17.00,0,441.102,0
16/01/2019 18.00,0,446.596,0
16/01/2019 19.00,0,451.394,0
16/01/2019 20.00,0,446.294,0
16/01/2019 21.00,0,433.544,0
16/01/2019 22.00,0,403.002,0
16/01/2019 23.00,0,360.698,0
17/01/2019 00.00,0,331.722,0
17/01/2019 01.00,0,319.504,0
17/01/2019 02.00,0,291.496,0
17/01/2019 03.00,0,288.102,0
17/01/2019 04.00,0,285.113,0
17/01/2019 05.00,0,266.075,0
17/01/2019 06.00,0,273.408,0
17/01/2019 07.00,0,266.075,0
17/01/2019 08.00,0,218.924,0
17/01/2019 09.00,0,161.313,0
17/01/2019 10.00,0,143.025,0
